Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KiWo,Ferien,Is_Ferien,Holiday,Wochentag,Is_Weekend,Weihnachten_Sommer,Christmas_Sales,Sommerferien_Flag,Ferien_Category,Temperature_Category,Windgeschwindigkeit_Beaufort,Wind_Status,Rain_Status,Cloud_Status,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6
2012-01-01,8.0,9.825,14,58.0,1201011,1,0.0,0,,0,1,Sunday,1,0,0,0,0,-1,7,3,-1,4,1,0,0,0,0,0
2012-01-01,8.0,9.825,14,58.0,1201012,2,0.0,0,,0,1,Sunday,1,0,0,0,0,-1,7,3,-1,4,0,1,0,0,0,0
2012-01-01,8.0,9.825,14,58.0,1201013,3,0.0,0,,0,1,Sunday,1,0,0,0,0,-1,7,3,-1,4,0,0,1,0,0,0
2012-01-01,8.0,9.825,14,58.0,1201014,4,0.0,0,,0,1,Sunday,1,0,0,0,0,-1,7,3,-1,4,0,0,0,1,0,0
2012-01-01,8.0,9.825,14,58.0,1201015,5,0.0,0,,0,1,Sunday,1,0,0,0,0,-1,7,3,-1,4,0,0,0,0,1,0
2012-01-01,8.0,9.825,14,58.0,1201016,6,0.0,0,,0,1,Sunday,1,0,0,0,0,-1,7,3,-1,4,0,0,0,0,0,1
2012-01-03,8.0,5.5375,18,63.0,1201031,1,0.0,0,,0,0,Tuesday,0,0,0,0,0,-1,8,3,1,4,1,0,0,0,0,0
2012-01-03,8.0,5.5375,18,63.0,1201032,2,0.0,0,,0,0,Tuesday,0,0,0,0,0,-1,8,3,1,4,0,1,0,0,0,0
2012-01-03,8.0,5.5375,18,63.0,1201033,3,0.0,0,,0,0,Tuesday,0,0,0,0,0,-1,8,3,1,4,0,0,1,0,0,0
2012-01-03,8.0,5.5375,18,63.0,1201034,4,0.0,0,,0,0,Tuesday,0,0,0,0,0,-1,8,3,1,4,0,0,0,1,0,0
2012-01-03,8.0,5.5375,18,63.0,1201035,5,0.0,0,,0,0,Tuesday,0,0,0,0,0,-1,8,3,1,4,0,0,0,0,1,0
