Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KiWo,Ferien,Is_Ferien,Holiday,Bewoelkung_Imputed,Wettercode_Imputed
2012-01-01,8,9.825,14,58,1201011,1,0.0,0,,0,1,0,0
2012-01-01,8,9.825,14,58,1201012,2,0.0,0,,0,1,0,0
2012-01-01,8,9.825,14,58,1201013,3,0.0,0,,0,1,0,0
2012-01-01,8,9.825,14,58,1201014,4,0.0,0,,0,1,0,0
2012-01-01,8,9.825,14,58,1201015,5,0.0,0,,0,1,0,0
2012-01-01,8,9.825,14,58,1201016,6,0.0,0,,0,1,0,0
2012-01-02,7,7.4375,12,21,1201021,1,0.0,0,,0,0,0,1
2012-01-02,7,7.4375,12,21,1201022,2,0.0,0,,0,0,0,1
2012-01-02,7,7.4375,12,21,1201023,3,0.0,0,,0,0,0,1
2012-01-02,7,7.4375,12,21,1201024,4,0.0,0,,0,0,0,1
2012-01-02,7,7.4375,12,21,1201025,5,0.0,0,,0,0,0,1
2012-01-02,7,7.4375,12,21,1201026,6,0.0,0,,0,0,0,1
2012-01-03,8,5.5375,18,63,1201031,1,0.0,0,,0,0,0,0
2012-01-03,8,5.5375,18,63,1201032,2,0.0,0,,0,0,0,0
2012-01-03,8,5.5375,18,63,1201033,3,0.0,0,,0,0,0,0
2012-01-03,8,5.5375,18,63,1201034,4,0.0,0,,0,0,0,0
2012-01-03,8,5.5375,18,63,1201035,5,0.0,0,,0,0,0,0
2012-01-03,8,5.5375,18,63,1201036,6,0.0,0,,0,0,0,0
2012-01-04,4,5.6875,19,80,1201041,1,0.0,0,,0,0,0,0
2012-01-04,4,5.6875,19,80,1201042,2,0.0,0,,0,0,0,0
2012-01-04,4,5.6875,19,80,1201043,3,0.0,0,,0,0,0,0
2012-01-04,4,5.6875,19,80,1201044,4,0.0,0,,0,0,0,0
2012-01-04,4,5.6875,19,80,1201045,5,0.0,0,,0,0,0,0
2012-01-04,4,5.6875,19,80,1201046,6,0.0,0,,0,0,0,0
2012-01-05,6,5.3,23,80,1201051,1,0.0,0,,0,0,0,0
2012-01-05,6,5.3,23,80,1201052,2,0.0,0,,0,0,0,0
2012-01-05,6,5.3,23,80,1201053,3,0.0,0,,0,0,0,0
2012-01-05,6,5.3,23,80,1201054,4,0.0,0,,0,0,0,0
2012-01-05,6,5.3,23,80,1201055,5,0.0,0,,0,0,0,0
2012-01-05,6,5.3,23,80,1201056,6,0.0,0,,0,0,0,0
2012-01-06,3,2.625,10,61,1201061,1,0.0,0,,0,0,0,1
2012-01-06,3,2.625,10,61,1201062,2,0.0,0,,0,0,0,1
2012-01-06,3,2.625,10,61,1201063,3,0.0,0,,0,0,0,1
2012-01-06,3,2.625,10,61,1201064,4,0.0,0,,0,0,0,1
2012-01-06,3,2.625,10,61,1201065,5,0.0,0,,0,0,0,1
2012-01-06,3,2.625,10,61,1201066,6,0.0,0,,0,0,0,1
2012-01-07,7,6.528571,14,61,1201071,1,0.0,0,,0,0,0,0
2012-01-07,7,6.528571,14,61,1201072,2,0.0,0,,0,0,0,0
2012-01-07,7,6.528571,14,61,1201073,3,0.0,0,,0,0,0,0
2012-01-07,7,6.528571,14,61,1201074,4,0.0,0,,0,0,0,0
2012-01-07,7,6.528571,14,61,1201075,5,0.0,0,,0,0,0,0
2012-01-07,7,6.528571,14,61,1201076,6,0.0,0,,0,0,0,0
2012-01-08,7,5.9625,10,80,1201081,1,0.0,0,,0,0,0,0
2012-01-08,7,5.9625,10,80,1201082,2,0.0,0,,0,0,0,0
2012-01-08,7,5.9625,10,80,1201083,3,0.0,0,,0,0,0,0
2012-01-08,7,5.9625,10,80,1201084,4,0.0,0,,0,0,0,0
2012-01-08,7,5.9625,10,80,1201085,5,0.0,0,,0,0,0,0
2012-01-08,7,5.9625,10,80,1201086,6,0.0,0,,0,0,0,0
2012-01-09,8,5.15,12,61,1201091,1,0.0,0,,0,0,0,0
2012-01-09,8,5.15,12,61,1201092,2,0.0,0,,0,0,0,0
2012-01-09,8,5.15,12,61,1201093,3,0.0,0,,0,0,0,0
